norm_name,github_login,confidence,gh_name,gh_company,followers,method,resolved_at,recheck_after
aviva peisach,avivap,MED,Aviva Peisach,,0,fullname,2026-06-28,2026-09-26
christian tzolov,tzolov,HIGH,Christian Tzolov,@spring-io ,748,fullname,2026-06-28,
dariusz jedrzejczyk,chemicL,HIGH,Dariusz Jędrzejczyk,Broadcom,287,fullname+org,2026-06-28,
dominik cebula,dominikcebula,HIGH,Dominik Cebula,,30,fullname+jvmrepo,2026-06-28,
dylan beattie,dylanbeattie,HIGH,Dylan Beattie,@ursatile  ,1430,fullname,2026-06-28,
ivar grimstad,ivargrimstad,HIGH,Ivar Grimstad,,374,fullname,2026-06-28,
jakub nabrdalik,jakubnabrdalik,HIGH,Jakub Nabrdalik,,429,fullname+jvmrepo,2026-06-28,
josef goldstein,JosefGold,MED,Josef Goldstein,,2,fullname,2026-06-28,2026-09-26
konrad sza kowski,smijran,HIGH,Konrad Szałkowski,,6,fullname+jvmrepo,2026-06-28,
krzysztof debski,kdebski,HIGH,Krzysztof Debski,,13,fullname+jvmrepo,2026-06-28,
marcin grzejszczak,marcingrzejszczak,HIGH,Marcin Grzejszczak,HeroDevs,889,fullname+jvmrepo,2026-06-28,
marcin kliks,vi4m,HIGH,✪ vi4m Marcin Kliks,Allegro.pl,81,fullname+dominant,2026-06-28,
marcin apaj,mlapaj,MED,Marcin Łapaj,,2,fullname,2026-06-28,2026-09-26
martin ladecky,martin-ladecky,HIGH,Martin Ladecký,Martin Ladecky,1,fullname,2026-06-28,
mateusz dykszak,mateusz-dykszak,HIGH,Mateusz Dykszak,,0,fullname+jvmrepo,2026-06-28,
mateusz nalepa,MateuszGrafik3D,MED,Mateusz Nalepa,,0,fullname,2026-06-28,2026-09-26
niek palm,npalm,HIGH,Niek Palm,@philips-software,207,fullname+dominant,2026-06-28,
spencer gibb,spencergibb,HIGH,Spencer Gibb,Broadcom,2060,fullname,2026-06-28,
szymon sadowski,Nemezjusz,HIGH,Szymon Sadowski ,AGH University of Science and Technology,13,fullname,2026-06-28,
thomas pierrain,tpierrain,HIGH,Thomas PIERRAIN,Shodo.io,265,fullname,2026-06-28,
thomas sundberg,tsundberg,HIGH,Thomas Sundberg,Think Code AB,43,fullname+jvmrepo,2026-06-28,
tom akehurst,tomakehurst,HIGH,Tom Akehurst,@wiremock-inc ,287,fullname,2026-06-28,
tomas rehak,trehak1,HIGH,Tomas Rehak,ATLAS Consulting s.r.o.,8,fullname,2026-06-28,
tomer gabel,holograph,HIGH,Tomer Gabel,Substrate Software Services,56,fullname+jvmrepo,2026-06-28,
